"id","creation_date","modification_date","transaction_type_id","customer_id","status","agcode","number","due_date","payment_date","PaymentMethod","PaymentReferenceNumber","total_amount","comments","reference_number"
"a092969c-f8ad-4d78-a6af-0a78699051da","2019-06-07 00:12:16.467704-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","7ff3142d-458e-41b2-bae5-a071ad620a0d",1,1,"150828","2019-06-13 00:12:16.439137-03","2019-06-10 00:00:00-03","Rapipago","142602","270.0","filmfemicidio.com.ar","5427943"
"1876a011-ca57-4641-aedb-80131c7dada5","2019-06-07 06:27:40.876421-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","b76aa2b1-92e1-484b-bdff-7f6b5053cd73",1,1,"150877","2019-06-13 06:27:40.8429-03","2019-06-10 00:00:00-03","Rapipago","142564","270.0","dmycia.com.ar","5428091"
"e3cb7c44-7dd4-496a-8ef4-070540db3a3f","2019-06-07 07:55:37.420937-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","4abbc79c-c673-42a5-8628-9fbb299ad232",1,1,"150894","2019-06-13 07:55:37.393255-03","2019-06-10 00:00:00-03","Rapipago","142670","270.0","piatti.com.ar","2872938"
"54a827ee-78a2-4ebd-b5f9-a9968b31dbad","2019-06-07 08:32:20.679831-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","7a6d1aa6-0e1f-4553-ab56-838e07fc4a60",1,1,"150927","2019-06-13 08:32:20.651328-03","2019-06-10 00:00:00-03","Rapipago","142443","270.0","gomeriasaltamirano.com.ar","5428400"
"e62fd0bc-d256-41b8-9797-5cb0f20dcd34","2019-06-07 08:42:22.182231-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","e4b95841-eef2-4786-b204-d953b23b5760",1,1,"150934","2019-06-13 08:42:22.155196-03","2019-06-10 00:00:00-03","Rapipago","142384","270.0","altadistribucion.com.ar","5428520"
"e39663ea-f73d-4b2e-9c10-391c7f058056","2019-06-07 08:44:30.98808-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","77f556a7-8e15-4045-a63e-3bbf5a2669af",1,1,"150940","2019-06-13 08:44:30.966886-03","2019-06-10 00:00:00-03","Rapipago","142583","270.0","ventocapital.com.ar","5428553"
"31940652-9ba2-41fa-a21b-99a2fe2111a3","2019-06-07 08:49:21.979205-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","cbaee97f-d2bc-492c-99e5-fe8d2ac046b9",1,1,"150947","2019-06-13 08:49:21.959646-03","2019-06-10 00:00:00-03","Rapipago","142483","270.0","almuñecar.com.ar","5428612"
"c50c7a1f-52a8-46c2-8a0f-be135eea03ec","2019-06-07 09:03:39.126025-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","1cb9426b-e2ea-48ca-a8a0-2f2fb6b9f1eb",1,1,"150972","2019-06-13 09:03:39.099073-03","2019-06-10 00:00:00-03","Rapipago","142291","270.0","herrajesmanolo.com.ar","5428831"
"e5096c0e-71cd-41e2-8dc9-9ceb2431a044","2019-06-07 09:06:55.509528-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","7defd555-5534-420e-b174-103ad4a79b4f",1,1,"150983","2019-06-13 09:06:55.478417-03","2019-06-10 00:00:00-03","Rapipago","142454","270.0","ferreteratigger.com.ar","5428881"
"533ffa59-7993-445e-b8ed-c3e2a3771b48","2019-06-07 09:34:29.861113-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","706248ac-fe21-4aeb-8b72-7463b68ad6a5",1,1,"151060","2019-06-13 09:34:29.831993-03","2019-06-10 00:00:00-03","Rapipago","142729","270.0","tecnicalend.com.ar","5429341"
"b5207397-dad1-4e27-8ba4-f3406486b4c6","2019-06-07 09:21:32.269475-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","d314950a-860c-411a-b5c4-be89ea375eda",1,1,"151023","2019-06-13 09:21:32.247849-03","2019-06-10 00:00:00-03","Rapipago","142463","270.0","herreriarivas.com.ar","5403562"
"5bb2e40b-84c6-4a54-a54d-b7505a8606c5","2019-06-07 09:21:53.87094-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","488c4165-4e6a-4c16-ac8c-fe3bc12fab57",1,1,"151025","2019-06-13 09:21:53.837411-03","2019-06-10 00:00:00-03","Rapipago","142277","270.0","tierrasur.com.ar","5428765"
"fdfb493e-2f07-4445-ae2c-c6f69692af70","2019-06-07 10:01:57.047002-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","2e381718-6e6b-4097-b92f-64967d3eed80",1,1,"151136","2019-06-13 10:01:57.013498-03","2019-06-10 00:00:00-03","Rapipago","142344","270.0","saboracalle.com.ar","5429684"
"dcbff017-9bcc-457d-8380-c69f58fedba5","2019-06-07 10:03:56.892602-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","e1a5b629-9a5c-4def-8991-99103cfdfbb3",1,1,"151144","2019-06-13 10:03:56.868082-03","2019-06-10 00:00:00-03","Rapipago","142641","270.0","hostallaglorieta.com.ar","5429972"
"60be0ef6-0333-44c6-a1b1-11d498ac5939","2019-06-07 09:59:30.223634-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","798d1eac-db44-4d5e-becb-3f85152116a8",1,1,"151127","2019-06-13 09:59:30.203378-03","2019-06-10 00:00:00-03","Rapipago","142445","270.0","corporis3d.com.ar","2939872"
"12ae88c8-1bc3-4bee-8adb-8266617f3e66","2019-06-07 10:24:50.810323-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","460d66c5-914c-40b2-b6e6-558a00b57fae",1,1,"151198","2019-06-13 10:24:50.788287-03","2019-06-10 00:00:00-03","Rapipago","142720","270.0","cabañaslamartina.com.ar","5430375"
"5473669c-3447-42a8-9bd1-dda12b23e2d0","2019-06-07 10:22:17.40651-03",NULL,"334b31d4-917e-4195-a92a-188f00f5fe4c","7dd99953-48d3-4faa-80a3-e0da91334c32",1,1,"151190","2019-06-13 10:22:17.372154-03","2019-06-10 00:00:00-03","Rapipago","142521","270.0","neumaticosautovia2.com.ar","5430315"
"e8142059-e5bb-4f6a-a7a9-b3f12fa2e1f0","2019-06-07 10:26:18.397053-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","d28272aa-514a-4422-98a7-73a831f96698",1,1,"151203","2019-06-13 10:26:18.366619-03","2019-06-10 00:00:00-03","Rapipago","142511","270.0","proyectarnacion.com.ar","5430403"
"d6e4af48-8c12-4046-ae7b-ec9dca49ff64","2019-06-07 10:40:14.256648-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","fc164fb5-8e08-4a12-91df-19a7e8238c3c",1,1,"151249","2019-06-13 10:40:14.219013-03","2019-06-10 00:00:00-03","Rapipago","142330","270.0","orthodent.com.ar","5430778"
"4f0513b9-d8e6-4fcf-acad-80283211a1dd","2019-06-07 10:43:28.236951-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","5e7578f2-b045-4ab2-86ac-484da8348723",1,1,"151262","2019-06-13 10:43:28.214526-03","2019-06-10 00:00:00-03","Rapipago","142361","270.0","pasteleroser.com.ar","5430874"
"ebb13377-bac1-49fa-9d7d-5f60b02a029b","2019-06-07 10:44:04.210672-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","3d92d260-0f97-47f9-b334-3f661a44cb84",1,1,"151265","2019-06-13 10:44:04.180068-03","2019-06-10 00:00:00-03","Rapipago","142627","270.0","sellodevinos.com.ar","5430883"
"0b6223c4-e638-4c6d-98f2-6c87435fbbc2","2019-06-07 10:48:13.711592-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","b1965f82-ece2-4389-8965-16e4825d7d17",1,1,"151284","2019-06-13 10:48:13.675108-03","2019-06-10 00:00:00-03","Rapipago","142360","270.0","cirner.com.ar","5430935"
"38614e2e-3d42-4820-8635-acdb20a53f2d","2019-06-07 10:51:25.542872-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","c9427116-a338-4a11-a98d-1175df97f64b",1,1,"151290","2019-06-13 10:51:25.51295-03","2019-06-10 00:00:00-03","Rapipago","142437","270.0","castecnologia.com.ar","5431043"
